,apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day
3172,중앙하이츠2,1996,59.9,14, 낙민동,안남로,00036,90-6,"    24,500",2022.5.28
3173,동원로얄듀크,1998,121.79,22, 낙민동,온천천로399번길,00014,94-1,"    58,000",2022.5.31
3174,중앙하이츠2,1996,59.9,6, 낙민동,안남로,00036,90-6,"    24,500",2022.5.31
3175,우성베스토피아,1989,84.87,10, 복천동,복천로5번길,00034,500-1,"    49,000",2022.5.30
3176,경보이리스힐,2012,82,2, 수안동,명륜로,00069,4-5,"    31,000",2022.5.2
3177,조성하이츠,1998,84.79,21, 수안동,온천천로,00273,32-3,"    34,000",2022.5.12
3178,조성하이츠,1998,84.79,4, 수안동,온천천로,00273,32-3,"    38,000",2022.5.12
3179,한진,1996,59.4,18, 수안동,충렬대로200번길,00025,666-1,"    44,700",2022.5.17
3180,엘리유리안,2006,77.935,10, 명륜동,명륜로103번길,00003,433-4,"    30,500",2022.5.2
3181,명륜동힐스테이트,2018,84.9773,9, 명륜동,명륜로,00222,795,"    80,500",2022.5.3
3182,명륜2차아이파크1단지,2015,84.9138,6, 명륜동,시실로,00049,782,"    66,000",2022.5.14
